año,mes,ipc
2013,1,112.149
2013,2,112.6471
2013,3,112.8788
2013,4,113.1643
2013,5,113.4797
2013,6,113.7462
2013,7,113.7973
2013,8,113.8922
2013,9,114.2258
2013,10,113.9293
2013,11,113.6829
2013,12,113.9825
2014,1,114.5368
2014,2,115.2592
2014,3,115.7136
2014,4,116.2432
2014,5,116.8056
2014,6,116.9144
2014,7,117.0913
2014,8,117.3292
2014,9,117.4886
2014,10,117.6822
2014,11,117.8373
2014,12,118.1517
2015,1,118.9129
2015,2,120.2799
2015,3,120.9846
2015,4,121.6344
2015,5,121.9543
2015,6,122.0824
2015,7,122.3085
2015,8,122.8956
2015,9,123.775
2015,10,124.6193
2015,11,125.3708
2015,12,126.1495
2016,1,127.7775
2016,2,129.4126
2016,3,130.6339
2016,4,131.2819
2016,5,131.9512
2016,6,132.5841
2016,7,133.2735
2016,8,132.8472
2016,9,132.777
2016,10,132.6974
2016,11,132.846
2016,12,133.3998
2017,1,134.7659
2017,2,136.1213
2017,3,136.7554
2017,4,137.4033
2017,5,137.7129
2017,6,137.8707
2017,7,137.8002
2017,8,137.9932
2017,9,138.0488
2017,10,138.0719
2017,11,138.3216
2017,12,138.854
2018,1,139.7247
2018,2,140.7115
2018,3,141.0494
2018,4,141.7007
2018,4,141.7007
2018,5,142.0602
2018,6,142.2799
2018,7,142.28
2018,8,142.1
2018,9,142.27
2018,10,142.5
2018,11,142.84
2018,12,143.27
2019,1,143.27
2019,2,101.18
2019,3,101.62
2019,4,102.12
2019,5,102.44
2019,6,102.71
2019,7,102.94
2019,8,103.03
2019,9,103.26
2019,10,103.43
2019,11,103.54
2019,12,103.8
2020,1,104.24
2020,2,104.94
2020,3,105.53
2020,4,105.53
2020,5,105.53
2020,6,105.53
2020,7,105.53
2020,8,104.96
2020,9,105.29
2020,10,105.23
2020,11,105.08
2020,12,105.48
2021,1,105.48
2021,2,105.91
2021,3,106.58
2021,4,107.12
2021,5,107.76
2021,6,108.84
2021,7,108.78
2021,8,109.14
2021,9,109.62
2021,11,110.06
2021,12,110.6
2022,3,100.0
2022,3,113.26
2022,4,116.26
2022,4,116.26
2022,4,115.11
2022,4,100.0
2022,5,117.71
2022,6,118.7
2022,7,119.31
2022,8,120.27
2022,9,121.5
2022,12,124.46
2023,2,128.27
2023,3,130.4
2023,4,131.77
2023,5,132.8
2023,6,133.38
2023,7,133.78
2023,8,134.45
2023,9,135.39
2023,10,136.11
2023,11,136.45
2023,12,137.09
2024,1,137.72
2024,6,142.92
2024,7,143.38
2024,8,143.67
2024,10,144.02
2024,11,143.83
2024,12,144.22
