Escenario,Modelo,MAE,MSE,RMSE,R2
E1 Completo,ARIMAX,162.01016321906954,32859.138121709555,181.27089706213062,-5.463069642941517
E1 Completo,SARIMAX,350.7659241250106,133507.35170688204,365.38657844382027,-25.259584433718963
E1 Completo,Prophet,133.18434246116826,23165.13917211223,152.2009828224254,-3.5563552885423215
E2 Pre-pandemia,ARIMAX,29.55410284189287,1004.5633659661047,31.694847624907503,-5.789720325820017
E2 Pre-pandemia,SARIMAX,23.9100172613884,1024.6743514138855,32.010535006679994,-5.925648004743236
E2 Pre-pandemia,Prophet,10.935429715726011,152.2051126232897,12.337143616870547,-0.028735649620478254
E3 Post-pandemia,ARIMAX,166.25257800526217,34521.47204482185,185.7995480210376,-5.790034393967676
E3 Post-pandemia,SARIMAX,488.4945880499011,259874.37316270382,509.7787492262735,-50.11473605744542
E3 Post-pandemia,Prophet,87.22763344322276,9997.689282134435,99.98844574316793,-0.9664472591943651
E4 Gasolina,ARIMAX,152.9860566575577,31731.139335623575,178.1323646495032,-5.241203363776679
E4 Gasolina,SARIMAX,614.5472051715004,425953.3338375416,652.6510046246322,-82.78083597440141
E4 Gasolina,Prophet,31.097583670471938,1924.5018381799384,43.86914448880829,0.6214693957566655
